"Player","Year","Team","Cap.Number","Cash.Spent","Rank","ATT","YDS","Y.A","LG","X20.","TD","REC","TGT","YDS.1","Y.R","TD.1","FL","G","FPTS","FPTS.G","ROST"
"Darrel Williams",2022,"Cardinals","$1,047,500",1187500,99,21,102,4.9,30,1,1,4,8,9,2.3,0,0,5,17.1,3.4,"0.0%"
"Darrynton Evans",2020,"Titans","$730,592",1388840,108,14,54,3.9,9,0,0,2,4,27,13.5,1,0,5,14.1,2.8,"0.0%"
"Darrynton Evans",2021,"Titans","$1,036,770",817354,148,2,7,3.5,5,0,0,2,2,11,5.5,0,0,2,1.8,0.9,"0.0%"
"Darrynton Evans",2022,"Bears","$348,056",348056,115,14,64,4.6,21,1,0,1,1,33,33,0,0,3,9.7,3.2,"0.0%"
"Darrynton Evans",2023,"Dolphins","$164,444",164444,83,32,121,3.8,13,0,1,7,12,49,7,0,0,6,23,3.8,"0.0%"
"Darwin Thompson",2020,"Chiefs","$716,460",684500,87,27,97,3.6,14,0,1,7,11,65,9.3,1,1,13,26.2,2,"0.0%"
"Darwin Thompson",2021,"Chiefs","$0",0,192,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,"0.0%"
"David Johnson",2020,"Texans","$11,156,250",10762500,19,147,691,4.7,48,4,6,33,46,314,9.5,2,1,12,146.5,12.2,"0.0%"
"David Johnson",2021,"Texans","$4,911,765",4911765,67,67,228,3.4,15,0,0,32,42,225,7,1,1,13,49.3,3.8,"0.0%"
"David Johnson",2022,"Saints","$198,889",23000,131,12,24,2,5,0,0,4,4,47,11.8,0,1,4,5.1,1.3,"0.0%"
"David Montgomery",2020,"Bears","$945,681",684136,6,247,1070,4.3,80,5,8,54,68,438,8.1,2,1,15,210.8,14.1,"95.7%"
"David Montgomery",2021,"Bears","$1,111,577",850032,20,225,849,3.8,41,5,7,42,51,301,7.2,0,1,14,154,11,"95.7%"
"David Montgomery",2022,"Bears","$3,051,545",2790000,21,201,801,4,28,2,5,34,40,316,9.3,1,2,16,143.7,9,"95.7%"
"David Montgomery",2023,"Lions","$2,845,588",6161765,9,219,1015,4.6,75,4,13,16,24,117,7.3,0,1,14,191.2,13.7,"95.7%"
"DeAndre Washington",2020,"Dolphins","$397,059",481765,113,31,91,2.9,16,0,0,5,10,30,6,0,0,4,12.1,3,"11.0%"
"DeeJay Dallas",2020,"Seahawks","$733,600",1104400,75,34,108,3.2,13,0,2,17,20,111,6.5,1,0,12,39.9,3.3,"0.1%"
