Player,Year,Age,Cash.Spent
Tyreek Hill,2022,28,26885000.0
Tyreek Hill,2023,29,26350000.0
Van Jefferson,2020,24,2250828.0
Van Jefferson,2021,25,865052.0
Van Jefferson,2022,26,1120104.0
Van Jefferson,2023,27,996168.0
Velus Jones Jr.,2022,25,1816580.0
Velus Jones Jr.,2023,26,950724.0
Wan'Dale Robinson,2022,21,3837848.0
Wan'Dale Robinson,2023,22,1077053.0
Xavier Gipson,2023,22,765000.0
Xavier Hutchinson,2023,23,913700.0
Zach Pascal,2020,25,750000.0
Zach Pascal,2021,26,3384000.0
Zach Pascal,2022,27,1500000.0
Zach Pascal,2023,28,2580000.0
Zay Flowers,2023,23,7958320.0
Zay Jones,2020,25,1389519.0
Zay Jones,2021,26,2500000.0
Zay Jones,2022,27,8720588.0
Zay Jones,2023,28,7764706.0
